step,gate_0,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,gate_9,gate_10,gate_11,gate_12,gate_13,gate_14,gate_15,gate_16,gate_17,gate_18,gate_19,gate_20,gate_21,gate_22,gate_23
50,0.7315,0.7315,0.7309,0.7307,0.7314,0.731,0.7308,0.7307,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.2694,0.7306,0.7306,0.7306,0.7306,0.7307,0.7312,0.731
100,0.7318,0.732,0.7306,0.7305,0.7314,0.7307,0.7306,0.7303,0.2698,0.2698,0.2698,0.2698,0.2699,0.2698,0.2699,0.2698,0.2699,0.7303,0.7303,0.7303,0.7303,0.7304,0.731,0.7308
150,0.7318,0.7323,0.7305,0.7306,0.7311,0.7306,0.7303,0.7301,0.27,0.2702,0.2701,0.2702,0.2701,0.2701,0.2701,0.2701,0.2702,0.73,0.7302,0.7304,0.7304,0.7303,0.7309,0.7307
200,0.7316,0.7322,0.7302,0.7302,0.7308,0.7303,0.7303,0.73,0.2701,0.2704,0.2703,0.2702,0.2702,0.2702,0.2702,0.2702,0.2703,0.7299,0.7301,0.7303,0.7302,0.7301,0.7308,0.7306
250,0.7313,0.732,0.7302,0.7301,0.7305,0.7301,0.73,0.7298,0.2701,0.2703,0.2702,0.2702,0.2702,0.2702,0.2702,0.2702,0.2703,0.7299,0.7301,0.7302,0.7302,0.7301,0.7307,0.7305
300,0.7313,0.7318,0.7302,0.7298,0.7303,0.7299,0.7299,0.7298,0.2702,0.2703,0.2703,0.2702,0.2702,0.2702,0.2703,0.2703,0.2703,0.7299,0.73,0.7301,0.7302,0.73,0.7306,0.7305
350,0.7312,0.7317,0.7302,0.7297,0.7301,0.7299,0.7298,0.7297,0.2702,0.2703,0.2702,0.2702,0.2703,0.2702,0.2703,0.2703,0.2703,0.7298,0.73,0.7301,0.7301,0.73,0.7305,0.7305
400,0.7311,0.7315,0.7302,0.7295,0.7299,0.7299,0.7298,0.7297,0.2702,0.2703,0.2702,0.2702,0.2702,0.2702,0.2703,0.2703,0.2703,0.7298,0.73,0.7301,0.7301,0.7301,0.7306,0.7304
450,0.731,0.7313,0.7302,0.7295,0.7299,0.7299,0.7297,0.7297,0.2703,0.2702,0.2702,0.2703,0.2703,0.2702,0.2703,0.2702,0.2704,0.7298,0.7299,0.7301,0.73,0.73,0.7305,0.7304
500,0.7309,0.7311,0.7301,0.7294,0.7299,0.7299,0.7296,0.7297,0.2702,0.2703,0.2702,0.2702,0.2703,0.2702,0.2703,0.2703,0.2703,0.7297,0.7299,0.7301,0.7301,0.7301,0.7305,0.7304
550,0.7307,0.7309,0.73,0.7295,0.7298,0.7298,0.7297,0.7296,0.2703,0.2702,0.2702,0.2703,0.2702,0.2702,0.2703,0.2702,0.2703,0.7297,0.7299,0.73,0.73,0.73,0.7304,0.7304
600,0.7306,0.7308,0.7299,0.7294,0.7299,0.7298,0.7297,0.7296,0.2702,0.2704,0.2702,0.2703,0.2704,0.2703,0.2703,0.2703,0.2703,0.7297,0.7299,0.73,0.7301,0.73,0.7305,0.7304
650,0.7305,0.7305,0.7298,0.7294,0.7299,0.7298,0.7296,0.7296,0.2702,0.2703,0.2702,0.2703,0.2703,0.2703,0.2703,0.2703,0.2704,0.7297,0.7298,0.73,0.73,0.73,0.7304,0.7303
700,0.7303,0.7302,0.7297,0.7294,0.7298,0.7298,0.7296,0.7295,0.2703,0.2704,0.2703,0.2703,0.2703,0.2703,0.2704,0.2704,0.2704,0.7296,0.7299,0.73,0.73,0.7299,0.7304,0.7303
