step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.022972,20.55,18.66,33.33,,0.00019999,16.64
100,2.447197,11.56,22.22,20.63,,0.00019997,32.37
150,2.06321,7.87,24.34,13.07,,0.00019993,48.19
200,1.819228,6.17,25.74,8.07,,0.00019986,63.9
250,1.617147,5.04,26.04,7.0,,0.00019979,84.65
300,1.69028,5.42,24.38,12.93,,0.00019969,100.62
350,1.584452,4.88,25.4,9.28,,0.00019959,116.65
400,1.634782,5.13,24.3,13.21,,0.00019945,132.66
450,1.568576,4.8,24.52,12.43,,0.00019932,152.83
500,1.642237,5.17,23.58,15.79,,0.00019915,168.82
550,1.527595,4.61,24.42,12.78,,0.00019898,184.7
600,1.694483,5.44,22.68,19.0,,0.00019877,200.63
650,1.557258,4.75,24.36,13.0,,0.00019857,221.38
700,1.644606,5.18,23.04,17.72,,0.00019833,237.3
750,1.536778,4.65,24.22,13.5,,0.0001981,253.16
800,1.723777,5.61,22.06,21.22,,0.00019783,269.19
850,1.544946,4.69,24.64,12.01,,0.00019756,289.66
900,1.591967,4.91,22.6,19.28,,0.00019725,305.72
950,1.513915,4.54,23.8,15.0,,0.00019695,321.55
1000,1.561974,4.77,23.2,17.14,,0.00019661,337.18
1050,1.652781,5.22,23.04,17.72,,0.00019628,357.56
1100,1.50418,4.5,23.1,17.51,,0.0001959,373.5
1150,1.502719,4.49,23.5,16.07,,0.00019554,389.44
1200,1.526831,4.6,22.8,18.57,,0.00019513,405.17
1250,1.669683,5.31,21.3,23.93,,0.00019474,425.55
1300,1.535951,4.65,22.86,18.35,,0.00019429,441.5
1350,1.470858,4.35,23.54,15.93,,0.00019387,457.21
1400,1.586685,4.89,21.48,23.28,,0.00019339,473.19
1450,1.506306,4.51,23.68,15.44,,0.00019294,493.63
1500,1.57693,4.84,22.98,17.93,,0.00019243,509.46
1550,1.544207,4.68,22.74,18.79,,0.00019194,525.14
1600,1.504288,4.5,22.36,20.14,,0.0001914,540.8
1650,1.471876,4.36,23.24,17.0,,0.00019088,560.59
1700,1.667701,5.3,20.74,25.93,,0.00019031,576.28
1750,1.524337,4.59,21.3,23.93,,0.00018976,591.85
1800,1.500804,4.49,22.24,20.57,,0.00018916,607.62
1850,1.526611,4.6,22.24,20.57,,0.00018858,627.92
1900,1.500345,4.48,22.04,21.29,,0.00018794,643.38
1950,1.451739,4.27,22.64,19.15,,0.00018734,659.38
2000,1.556585,4.74,21.5,23.22,,0.00018667,674.94
2050,1.548019,4.7,21.22,24.22,,0.00018604,694.49
2100,1.53445,4.64,22.02,21.36,,0.00018534,710.28
2150,1.59489,4.93,21.4,23.57,,0.00018468,725.82
2200,1.52271,4.58,21.98,21.5,,0.00018395,741.42
2250,1.473144,4.36,22.12,21.01,,0.00018326,761.69
2300,1.513747,4.54,21.82,22.07,,0.0001825,777.38
2350,1.467056,4.34,22.2,20.71,,0.00018179,793.3
2400,1.433913,4.2,21.66,22.65,,0.000181,809.18
2450,1.49599,4.46,21.44,23.43,,0.00018026,828.97
2500,1.579394,4.85,21.4,23.57,,0.00017944,844.77
2550,1.486707,4.42,21.58,22.92,,0.00017867,860.66
2600,1.457381,4.29,22.22,20.65,,0.00017783,876.24
2650,1.536662,4.65,21.04,24.86,,0.00017703,895.85
2700,1.484381,4.41,21.98,21.51,,0.00017616,912.02
2750,1.508825,4.52,21.06,24.79,,0.00017534,927.62
2800,1.463664,4.32,21.66,22.64,,0.00017444,943.39
2850,1.510856,4.53,20.48,26.86,,0.0001736,963.79
2900,1.462824,4.32,22.88,18.28,,0.00017267,979.36
2950,1.547453,4.7,19.96,28.71,,0.00017181,995.06
3000,1.510227,4.53,21.76,22.29,,0.00017086,1010.61
