layer,gate_value,status
0,0.713407,active
1,0.721306,active
2,0.726735,active
3,0.724202,active
4,0.724889,active
5,0.725978,active
6,0.72707,active
7,0.72714,active
8,0.273628,skip_candidate
9,0.27378,skip_candidate
10,0.273882,skip_candidate
11,0.273799,skip_candidate
12,0.274007,skip_candidate
13,0.274045,skip_candidate
14,0.273713,skip_candidate
15,0.273823,skip_candidate
16,0.273504,skip_candidate
17,0.726461,active
18,0.727024,active
19,0.727764,active
20,0.728044,active
21,0.728341,active
22,0.728633,active
23,0.728975,active
