step_type,loss_base,loss_lora,loss_delta
planning,2.3085,1.4156,-0.893
tool_call,2.7278,1.2047,-1.5232
tool_call,2.6103,1.0857,-1.5246
planning,1.8226,1.2303,-0.5923
tool_call,2.9941,1.3749,-1.6192
planning,2.34,1.2809,-1.0591
planning,2.3503,1.4843,-0.866
planning,2.1842,1.3445,-0.8397
tool_call,2.0485,1.0043,-1.0442
tool_call,1.953,0.9631,-0.9899
tool_call,2.1814,1.1516,-1.0298
planning,2.6346,1.3786,-1.256
planning,1.7393,1.4583,-0.281
planning,2.4785,1.3318,-1.1466
planning,2.2362,1.3157,-0.9205
planning,2.1975,1.3057,-0.8918
tool_call,2.9006,1.2804,-1.6202
tool_call,3.1685,1.5552,-1.6133
tool_call,2.1579,1.0721,-1.0858
tool_call,2.1423,1.0885,-1.0538
