step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,5.67,3.57,-2.1,24.0,0.0
tool_call,4.46,3.34,-1.13,23.0,4.2
tool_call,4.14,2.96,-1.18,24.0,0.0
planning,4.7,3.42,-1.27,24.0,0.0
tool_call,5.51,3.95,-1.56,24.0,0.0
planning,4.96,3.6,-1.36,24.0,0.0
planning,5.18,4.41,-0.77,23.0,4.2
planning,5.28,3.84,-1.44,24.0,0.0
tool_call,3.7,2.73,-0.97,23.0,4.2
tool_call,3.47,2.62,-0.85,23.0,4.2
tool_call,4.02,3.16,-0.86,23.0,4.2
planning,5.49,3.97,-1.52,24.0,0.0
planning,5.94,4.3,-1.64,24.0,0.0
planning,4.66,3.79,-0.87,23.0,4.2
planning,5.16,3.73,-1.43,24.0,0.0
planning,5.1,3.69,-1.41,24.0,0.0
tool_call,5.02,3.6,-1.42,24.0,0.0
tool_call,6.57,4.74,-1.84,24.0,0.0
tool_call,4.08,2.92,-1.16,24.0,0.0
tool_call,3.9,2.97,-0.93,23.0,4.2
tool_call,5.47,3.94,-1.53,24.0,0.0
tool_call,4.34,3.31,-1.03,23.0,4.2
planning,5.71,4.16,-1.54,24.0,0.0
planning,5.89,4.29,-1.6,24.0,0.0
tool_call,7.36,5.31,-2.05,24.0,0.0
tool_call,6.81,4.91,-1.9,24.0,0.0
tool_call,5.47,3.93,-1.54,24.0,0.0
planning,6.83,4.97,-1.86,24.0,0.0
planning,4.52,3.27,-1.25,24.0,0.0
planning,5.0,3.64,-1.36,24.0,0.0
tool_call,4.85,3.47,-1.38,24.0,0.0
planning,4.57,3.3,-1.27,24.0,0.0
planning,4.53,3.28,-1.25,24.0,0.0
tool_call,3.78,2.84,-0.94,23.0,4.2
tool_call,8.18,5.91,-2.27,24.0,0.0
planning,4.55,3.31,-1.24,24.0,0.0
tool_call,4.55,3.26,-1.29,24.0,0.0
planning,4.59,3.31,-1.28,24.0,0.0
tool_call,5.49,3.95,-1.54,24.0,0.0
tool_call,4.02,2.88,-1.14,24.0,0.0
planning,4.79,3.46,-1.33,24.0,0.0
tool_call,4.06,2.96,-1.1,23.0,4.2
tool_call,4.02,2.89,-1.14,24.0,0.0
tool_call,3.93,3.0,-0.93,23.0,4.2
tool_call,6.83,4.92,-1.91,24.0,0.0
tool_call,4.02,2.88,-1.15,24.0,0.0
tool_call,5.8,4.17,-1.63,24.0,0.0
planning,4.5,3.86,-0.64,23.0,4.2
planning,5.47,3.96,-1.51,24.0,0.0
tool_call,4.04,3.04,-1.0,23.0,4.2
tool_call,4.12,2.95,-1.17,24.0,0.0
planning,6.17,4.47,-1.7,24.0,0.0
tool_call,5.43,3.91,-1.52,24.0,0.0
planning,5.28,3.84,-1.44,24.0,0.0
tool_call,4.03,2.89,-1.14,24.0,0.0
tool_call,3.5,2.58,-0.91,23.0,4.2
tool_call,3.48,2.59,-0.89,23.0,4.2
tool_call,4.55,3.26,-1.29,24.0,0.0
planning,4.32,3.13,-1.19,24.0,0.0
planning,5.02,3.64,-1.38,24.0,0.0
planning,4.94,3.58,-1.36,24.0,0.0
planning,4.14,3.01,-1.13,24.0,0.0
tool_call,4.61,3.3,-1.31,24.0,0.0
planning,4.15,3.01,-1.15,24.0,0.0
tool_call,7.11,5.12,-1.99,24.0,0.0
tool_call,5.47,4.25,-1.22,23.0,4.2
planning,4.43,3.2,-1.23,24.0,0.0
tool_call,4.01,2.88,-1.13,24.0,0.0
planning,5.69,4.14,-1.54,24.0,0.0
planning,5.8,4.21,-1.59,24.0,0.0
planning,4.83,3.49,-1.34,24.0,0.0
tool_call,4.52,3.24,-1.28,24.0,0.0
tool_call,4.39,3.23,-1.16,23.0,4.2
planning,4.26,3.09,-1.17,24.0,0.0
tool_call,3.58,2.68,-0.9,23.0,4.2
planning,4.77,3.46,-1.31,24.0,0.0
tool_call,4.01,2.87,-1.14,24.0,0.0
planning,3.83,2.78,-1.05,24.0,0.0
tool_call,5.87,4.21,-1.65,24.0,0.0
planning,4.13,3.0,-1.13,24.0,0.0
planning,4.64,4.03,-0.62,23.0,4.2
planning,4.81,3.48,-1.33,24.0,0.0
planning,4.98,3.62,-1.36,24.0,0.0
tool_call,5.26,3.78,-1.48,24.0,0.0
planning,7.05,5.13,-1.92,24.0,0.0
planning,4.33,3.14,-1.19,24.0,0.0
planning,5.0,3.63,-1.37,24.0,0.0
planning,4.28,3.1,-1.18,24.0,0.0
tool_call,4.57,3.28,-1.29,24.0,0.0
tool_call,3.81,2.79,-1.02,23.0,4.2
tool_call,4.39,3.15,-1.25,24.0,0.0
planning,4.34,3.15,-1.2,24.0,0.0
tool_call,4.86,3.5,-1.37,24.0,0.0
planning,4.92,3.57,-1.35,24.0,0.0
planning,4.01,2.91,-1.09,24.0,0.0
tool_call,3.93,2.82,-1.11,24.0,0.0
planning,4.09,2.97,-1.11,24.0,0.0
planning,4.2,3.69,-0.51,23.0,4.2
planning,4.88,3.94,-0.94,23.0,4.2
tool_call,3.98,2.85,-1.13,24.0,0.0
