step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.908011,49.8,14.94,37.75,,0.00019999,7.83
100,3.392103,29.73,15.72,34.51,,0.00019997,13.83
150,2.702047,14.91,19.3,19.58,,0.00019993,19.7
200,2.530501,12.56,18.16,24.34,,0.00019986,25.61
250,2.470598,11.83,18.82,21.59,,0.00019979,33.4
300,2.164794,8.71,20.2,15.84,,0.00019969,39.52
350,2.117328,8.31,20.86,13.09,,0.00019959,45.42
400,1.859128,6.42,22.32,7.0,,0.00019945,51.31
450,2.08332,8.03,20.24,15.67,,0.00019932,58.93
500,1.815924,6.15,22.42,6.59,,0.00019915,65.12
550,1.786578,5.97,21.74,9.42,,0.00019898,70.86
600,1.844295,6.32,21.06,12.26,,0.00019877,76.59
650,1.72672,5.62,21.46,10.59,,0.00019857,84.17
700,1.816827,6.15,20.8,13.33,,0.00019833,90.04
750,1.65863,5.25,22.08,8.0,,0.0001981,95.83
800,1.814203,6.14,20.7,13.75,,0.00019783,101.68
850,1.656147,5.24,21.56,10.17,,0.00019756,109.27
900,1.722231,5.6,21.88,8.83,,0.00019725,115.2
950,1.718887,5.58,21.28,11.33,,0.00019695,121.19
1000,1.779016,5.92,20.98,12.58,,0.00019661,127.2
1050,1.736018,5.67,20.7,13.75,,0.00019628,134.73
1100,1.663015,5.28,21.38,10.92,,0.0001959,140.44
1150,1.700118,5.47,21.0,12.5,,0.00019554,146.11
1200,1.722796,5.6,20.34,15.24,,0.00019513,151.79
1250,1.743084,5.71,20.62,14.09,,0.00019474,159.36
1300,1.550475,4.71,22.36,6.83,,0.00019429,165.21
1350,1.785452,5.96,19.94,16.92,,0.00019387,171.09
1400,1.577201,4.84,21.92,8.67,,0.00019339,177.0
1450,1.686727,5.4,20.3,15.42,,0.00019294,184.49
1500,1.582259,4.87,21.26,11.42,,0.00019243,190.4
1550,1.626686,5.09,21.26,11.42,,0.00019194,196.26
1600,1.73304,5.66,19.64,18.17,,0.0001914,202.18
1650,1.632842,5.12,20.82,13.25,,0.00019088,209.8
1700,1.759604,5.81,20.5,14.58,,0.00019031,215.77
1750,1.828224,6.22,18.9,21.25,,0.00018976,221.61
1800,1.637869,5.14,21.58,10.09,,0.00018916,227.54
1850,1.534941,4.64,21.56,10.17,,0.00018858,235.26
1900,1.686423,5.4,19.62,18.25,,0.00018794,241.19
1950,1.640759,5.16,21.4,10.84,,0.00018734,247.33
2000,1.710279,5.53,20.82,13.26,,0.00018667,253.32
2050,1.529572,4.62,20.66,13.91,,0.00018604,260.98
2100,1.687372,5.41,20.02,16.58,,0.00018534,266.95
2150,1.616039,5.03,21.88,8.84,,0.00018468,272.82
2200,1.701477,5.48,20.54,14.42,,0.00018395,278.71
2250,1.554745,4.73,20.66,13.92,,0.00018326,286.27
2300,1.558852,4.75,20.46,14.75,,0.0001825,292.18
2350,1.622399,5.07,20.54,14.42,,0.00018179,298.13
2400,1.587742,4.89,20.6,14.18,,0.000181,304.07
2450,1.634535,5.13,20.8,13.34,,0.00018026,311.64
2500,1.578177,4.85,20.2,15.84,,0.00017944,317.55
2550,1.653093,5.22,20.74,13.58,,0.00017867,323.46
2600,1.659731,5.26,19.92,17.0,,0.00017783,329.35
2650,1.643576,5.17,20.04,16.5,,0.00017703,336.94
2700,1.579984,4.85,21.4,10.83,,0.00017616,342.9
2750,1.632794,5.12,19.44,19.0,,0.00017534,348.84
2800,1.61099,5.01,20.42,14.91,,0.00017444,354.79
2850,1.590421,4.91,21.0,12.5,,0.0001736,362.43
2900,1.629137,5.1,19.72,17.83,,0.00017267,368.38
2950,1.624804,5.08,20.12,16.16,,0.00017181,374.3
3000,1.643255,5.17,19.88,17.17,,0.00017086,380.28
