step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.013281,20.35,22.8,18.57,,0.00019999,12.31
100,2.897344,18.13,22.96,18.01,,0.00019997,24.07
150,2.542344,12.71,22.66,19.07,,0.00019993,35.74
200,2.208594,9.1,22.78,18.64,,0.00019986,47.5
250,1.971563,7.18,22.8,18.57,,0.00019979,62.71
300,1.832656,6.25,22.52,19.57,,0.00019969,74.43
350,1.854297,6.39,22.58,19.36,,0.00019959,86.11
400,1.685781,5.4,22.7,18.93,,0.00019945,97.88
450,1.467422,4.34,22.92,18.15,,0.00019932,113.07
500,1.441953,4.23,22.74,18.79,,0.00019915,124.8
550,1.376797,3.96,22.6,19.29,,0.00019898,136.52
600,1.532891,4.63,22.76,18.72,,0.00019877,148.32
650,1.430078,4.18,22.38,20.08,,0.00019857,163.38
700,1.348125,3.85,22.32,20.28,,0.00019833,174.95
750,1.331406,3.79,22.4,20.0,,0.0001981,186.56
800,1.371328,3.94,22.24,20.58,,0.00019783,198.11
850,1.467812,4.34,22.2,20.72,,0.00019756,213.19
900,1.161875,3.2,23.34,16.65,,0.00019725,225.21
950,1.357891,3.89,22.38,20.07,,0.00019695,236.84
1000,1.230156,3.42,23.06,17.65,,0.00019661,248.77
1050,1.269141,3.56,22.78,18.64,,0.00019628,263.94
1100,1.194922,3.3,22.96,18.01,,0.0001959,275.8
1150,1.263906,3.54,22.24,20.57,,0.00019554,287.35
1200,1.254219,3.51,22.64,19.14,,0.00019513,299.06
1250,1.167578,3.21,22.68,19.01,,0.00019474,314.18
1300,1.184531,3.27,22.38,20.07,,0.00019429,325.8
1350,1.187891,3.28,22.52,19.57,,0.00019387,337.53
1400,1.213281,3.36,22.42,19.93,,0.00019339,349.19
1450,1.311406,3.71,22.56,19.44,,0.00019294,364.26
1500,1.229805,3.42,22.92,18.14,,0.00019243,376.11
1550,1.208945,3.35,22.7,18.93,,0.00019194,387.88
1600,1.134375,3.11,22.88,18.28,,0.0001914,399.73
1650,1.128828,3.09,23.08,17.58,,0.00019088,414.96
1700,1.225078,3.4,22.52,19.58,,0.00019031,426.65
1750,1.158906,3.19,23.1,17.5,,0.00018976,438.54
1800,1.139453,3.13,22.52,19.57,,0.00018916,450.21
1850,1.175781,3.24,22.88,18.29,,0.00018858,465.49
1900,1.178438,3.25,22.72,18.86,,0.00018794,477.25
1950,1.186406,3.28,23.0,17.86,,0.00018734,489.15
2000,1.134609,3.11,22.82,18.49,,0.00018667,500.96
2050,1.023984,2.78,23.04,17.72,,0.00018604,516.23
2100,1.341328,3.82,22.34,20.22,,0.00018534,527.86
2150,1.182422,3.26,22.52,19.57,,0.00018468,539.55
2200,1.144922,3.14,22.64,19.14,,0.00018395,551.3
2250,1.074609,2.93,23.1,17.5,,0.00018326,566.58
2300,1.170078,3.22,22.44,19.86,,0.0001825,578.2
2350,1.15793,3.18,22.64,19.15,,0.00018179,589.95
2400,1.106797,3.02,22.46,19.79,,0.000181,601.57
2450,1.071484,2.92,22.82,18.51,,0.00018026,616.93
2500,1.031836,2.81,22.88,18.28,,0.00017944,628.77
2550,1.051875,2.86,22.74,18.79,,0.00017867,640.53
2600,1.039844,2.83,23.16,17.28,,0.00017783,652.45
2650,1.091406,2.98,23.1,17.5,,0.00017703,667.76
2700,1.155977,3.18,22.2,20.72,,0.00017616,679.47
2750,0.993906,2.7,23.58,15.79,,0.00017534,691.6
2800,1.026172,2.79,22.86,18.36,,0.00017444,703.38
2850,1.162422,3.2,22.46,19.78,,0.0001736,718.34
2900,1.0175,2.77,23.16,17.29,,0.00017267,730.24
2950,1.156172,3.18,22.52,19.57,,0.00017181,741.89
3000,1.069531,2.91,23.18,17.21,,0.00017086,753.82
