layer,gate_value,status
0,0.716963,active
1,0.716781,active
2,0.723679,active
3,0.723464,active
4,0.725613,active
5,0.726681,active
6,0.728976,active
7,0.273382,skip_candidate
8,0.274474,skip_candidate
9,0.273947,skip_candidate
10,0.27453,skip_candidate
11,0.27386,skip_candidate
12,0.274044,skip_candidate
13,0.273557,skip_candidate
14,0.273327,skip_candidate
15,0.273479,skip_candidate
16,0.725131,active
17,0.726248,active
18,0.726736,active
19,0.727015,active
20,0.727479,active
21,0.727499,active
