step_type,loss_base,loss_lora,loss_delta
planning,nan,2.1942,nan
planning,nan,1.4477,nan
planning,nan,1.8521,nan
tool_call,nan,1.2248,nan
planning,nan,1.9547,nan
tool_call,nan,1.0569,nan
tool_call,nan,1.1554,nan
planning,nan,1.5123,nan
tool_call,nan,1.0331,nan
planning,nan,1.7155,nan
planning,nan,1.7667,nan
planning,nan,1.8772,nan
tool_call,nan,1.5852,nan
tool_call,nan,1.6023,nan
planning,nan,1.4546,nan
planning,nan,1.5409,nan
planning,nan,1.5971,nan
planning,nan,1.7656,nan
tool_call,nan,1.5466,nan
planning,nan,1.6731,nan
