step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,4.944178,140.36,13.0,40.9,,0.00019999,12.63
100,3.580463,35.89,12.94,41.18,,0.00019997,24.2
150,3.091902,22.02,12.92,41.27,,0.00019993,35.78
200,2.955613,19.21,13.78,37.36,,0.00019986,47.25
250,2.642486,14.05,14.84,32.55,,0.00019979,62.27
300,2.301605,9.99,16.5,24.99,,0.00019969,73.86
350,2.281407,9.79,15.48,29.64,,0.00019959,85.47
400,2.282909,9.81,16.16,26.54,,0.00019945,96.72
450,2.211714,9.13,17.38,21.0,,0.00019932,111.41
500,2.742367,15.52,13.9,36.82,,0.00019915,122.87
550,1.905736,6.72,19.14,12.99,,0.00019898,134.63
600,1.829424,6.23,18.86,14.26,,0.00019877,146.27
650,1.901454,6.7,17.44,20.72,,0.00019857,161.33
700,1.777288,5.91,18.48,16.0,,0.00019833,172.97
750,1.941156,6.97,17.86,18.82,,0.0001981,184.2
800,1.706392,5.51,18.52,15.8,,0.00019783,195.65
850,1.819129,6.17,18.38,16.45,,0.00019756,210.28
900,1.83234,6.25,18.02,18.08,,0.00019725,221.93
950,1.63879,5.15,18.76,14.72,,0.00019695,233.62
1000,1.838915,6.29,18.28,16.9,,0.00019661,245.27
1050,1.664902,5.29,18.32,16.72,,0.00019628,259.89
1100,1.730323,5.64,17.24,21.63,,0.0001959,271.56
1150,1.659127,5.25,18.32,16.72,,0.00019554,283.24
1200,1.643177,5.17,19.08,13.26,,0.00019513,294.87
1250,1.786138,5.97,16.18,26.45,,0.00019474,309.84
1300,1.562348,4.77,19.1,13.18,,0.00019429,321.47
1350,1.643762,5.17,17.58,20.09,,0.00019387,333.0
1400,2.08652,8.06,17.12,22.18,,0.00019339,344.66
1450,1.733986,5.66,19.8,9.98,,0.00019294,359.58
1500,1.858313,6.41,17.72,19.45,,0.00019243,371.25
1550,1.720971,5.59,17.52,20.35,,0.00019194,382.91
1600,1.635856,5.13,18.68,15.08,,0.0001914,394.62
1650,1.616312,5.03,17.72,19.45,,0.00019088,409.71
1700,1.70057,5.48,17.42,20.81,,0.00019031,420.91
1750,1.559916,4.76,18.9,14.07,,0.00018976,432.46
1800,1.610264,5.0,17.14,22.09,,0.00018916,444.06
1850,1.655509,5.24,18.16,17.45,,0.00018858,458.99
1900,1.58214,4.87,19.2,12.71,,0.00018794,470.63
1950,1.746578,5.73,17.8,19.08,,0.00018734,482.28
2000,1.604341,4.97,18.04,17.99,,0.00018667,493.59
2050,1.60004,4.95,17.8,19.09,,0.00018604,508.23
2100,1.56292,4.77,17.68,19.63,,0.00018534,519.86
2150,1.553165,4.73,17.38,21.0,,0.00018468,531.62
2200,1.573673,4.82,18.22,17.17,,0.00018395,542.94
2250,1.56121,4.76,17.1,22.27,,0.00018326,558.15
2300,1.721979,5.6,16.62,24.46,,0.0001825,569.74
2350,1.56404,4.78,19.34,12.08,,0.00018179,581.59
2400,1.586348,4.89,17.78,19.18,,0.000181,593.35
2450,1.566517,4.79,18.2,17.26,,0.00018026,608.28
2500,1.637673,5.14,17.34,21.18,,0.00017944,620.01
2550,1.683319,5.38,17.52,20.36,,0.00017867,631.83
2600,1.513112,4.54,18.42,16.27,,0.00017783,643.65
2650,1.578364,4.85,16.78,23.73,,0.00017703,658.59
2700,1.521797,4.58,18.16,17.45,,0.00017616,670.68
2750,1.572357,4.82,16.58,24.64,,0.00017534,682.18
2800,1.518248,4.56,17.54,20.27,,0.00017444,693.96
2850,1.509202,4.52,18.1,17.72,,0.0001736,709.02
2900,1.614482,5.03,16.78,23.72,,0.00017267,720.84
2950,1.539061,4.66,17.66,19.73,,0.00017181,732.33
3000,1.534258,4.64,18.62,15.35,,0.00017086,743.79
