step_type,loss_base,loss_lora,loss_delta
tool_call,nan,1.2597,nan
tool_call,nan,1.1164,nan
planning,nan,2.0317,nan
tool_call,nan,1.6325,nan
tool_call,nan,1.1467,nan
tool_call,nan,1.3216,nan
planning,nan,1.8726,nan
planning,nan,2.1204,nan
tool_call,nan,1.1333,nan
planning,nan,1.7774,nan
tool_call,nan,1.2352,nan
tool_call,nan,1.5765,nan
planning,nan,2.2237,nan
tool_call,nan,1.1445,nan
tool_call,nan,1.6324,nan
tool_call,nan,1.2474,nan
tool_call,nan,1.5303,nan
planning,nan,1.6234,nan
planning,nan,1.4855,nan
planning,nan,1.5321,nan
