layer,gate_value,status
0,0.717959,active
1,0.714774,active
2,0.725232,active
3,0.716438,active
4,0.720671,active
5,0.723305,active
6,0.725958,active
7,0.274837,skip_candidate
8,0.275702,skip_candidate
9,0.27486,skip_candidate
10,0.275361,skip_candidate
11,0.274322,skip_candidate
12,0.274447,skip_candidate
13,0.273991,skip_candidate
14,0.273855,skip_candidate
15,0.273917,skip_candidate
16,0.724531,active
17,0.725738,active
18,0.725565,active
19,0.725895,active
20,0.726562,active
21,0.727052,active
