step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,5.45,3.71,-1.73,20.0,9.1
planning,5.82,4.63,-1.19,21.0,4.5
tool_call,3.86,3.06,-0.8,21.0,4.5
tool_call,4.04,3.26,-0.78,21.0,4.5
tool_call,4.88,3.93,-0.95,21.0,4.5
tool_call,3.92,3.11,-0.82,21.0,4.5
planning,10.5,8.81,-1.69,21.0,4.5
tool_call,3.58,2.74,-0.84,21.0,4.5
planning,8.44,7.25,-1.19,21.0,4.5
planning,11.53,10.16,-1.37,21.0,4.5
tool_call,3.59,2.83,-0.75,21.0,4.5
tool_call,4.11,3.27,-0.84,21.0,4.5
tool_call,3.57,2.81,-0.76,21.0,4.5
planning,7.5,6.14,-1.36,21.0,4.5
tool_call,4.92,3.96,-0.96,21.0,4.5
planning,6.47,5.21,-1.26,21.0,4.5
tool_call,6.1,5.12,-0.99,21.0,4.5
tool_call,4.1,3.22,-0.88,21.0,4.5
planning,10.58,12.58,1.99,20.0,9.1
tool_call,4.52,3.67,-0.85,21.0,4.5
tool_call,4.34,3.58,-0.77,21.0,4.5
planning,6.73,5.02,-1.7,21.0,4.5
tool_call,5.47,4.1,-1.37,22.0,0.0
tool_call,5.6,4.51,-1.09,21.0,4.5
planning,8.77,6.62,-2.15,22.0,0.0
planning,10.42,8.33,-2.08,21.0,4.5
planning,4.96,4.6,-0.36,21.0,4.5
tool_call,4.0,3.14,-0.86,21.0,4.5
tool_call,3.85,3.12,-0.73,21.0,4.5
planning,8.31,7.01,-1.3,21.0,4.5
planning,7.56,5.91,-1.66,21.0,4.5
tool_call,5.96,4.47,-1.49,22.0,0.0
tool_call,4.77,3.58,-1.19,22.0,0.0
planning,6.91,5.19,-1.73,22.0,0.0
planning,8.71,7.84,-0.86,21.0,4.5
tool_call,5.73,4.73,-1.0,21.0,4.5
planning,8.05,7.07,-0.98,21.0,4.5
planning,8.57,9.8,1.23,21.0,4.5
planning,8.18,9.06,0.88,21.0,4.5
tool_call,3.96,3.15,-0.81,21.0,4.5
planning,5.82,4.68,-1.14,21.0,4.5
tool_call,6.15,4.62,-1.53,22.0,0.0
planning,9.87,7.84,-2.03,21.0,4.5
tool_call,4.64,3.79,-0.85,21.0,4.5
tool_call,4.18,3.32,-0.85,21.0,4.5
tool_call,4.77,3.84,-0.93,21.0,4.5
planning,5.32,4.24,-1.08,21.0,4.5
planning,7.16,7.63,0.47,21.0,4.5
tool_call,4.03,3.24,-0.8,21.0,4.5
planning,7.27,5.73,-1.55,21.0,4.5
planning,8.64,9.24,0.6,21.0,4.5
tool_call,4.35,3.52,-0.83,21.0,4.5
tool_call,4.04,3.03,-1.01,22.0,0.0
tool_call,3.73,2.96,-0.77,21.0,4.5
tool_call,3.88,2.91,-0.97,22.0,0.0
planning,5.96,4.49,-1.47,22.0,0.0
tool_call,5.24,3.93,-1.3,22.0,0.0
planning,7.39,6.12,-1.27,21.0,4.5
tool_call,4.1,3.28,-0.83,21.0,4.5
planning,8.18,6.17,-2.01,22.0,0.0
planning,11.81,10.71,-1.1,21.0,4.5
tool_call,6.81,5.12,-1.69,22.0,0.0
planning,6.22,4.93,-1.3,21.0,4.5
tool_call,6.7,5.6,-1.1,21.0,4.5
tool_call,3.83,3.05,-0.77,21.0,4.5
tool_call,4.34,3.44,-0.9,21.0,4.5
planning,8.71,7.59,-1.12,21.0,4.5
planning,6.75,5.3,-1.46,21.0,4.5
tool_call,4.44,3.59,-0.84,21.0,4.5
tool_call,4.25,3.44,-0.82,21.0,4.5
planning,7.02,6.09,-0.93,21.0,4.5
planning,12.28,9.26,-3.01,22.0,0.0
tool_call,4.79,3.89,-0.89,21.0,4.5
planning,7.62,6.28,-1.34,21.0,4.5
planning,7.45,5.97,-1.48,21.0,4.5
tool_call,7.16,5.39,-1.77,22.0,0.0
planning,7.25,5.91,-1.33,21.0,4.5
tool_call,4.62,3.75,-0.87,21.0,4.5
tool_call,4.64,3.48,-1.16,22.0,0.0
planning,8.37,6.91,-1.46,21.0,4.5
planning,6.13,5.07,-1.06,21.0,4.5
planning,8.64,6.51,-2.13,22.0,0.0
planning,5.53,4.42,-1.12,21.0,4.5
planning,8.37,6.49,-1.88,21.0,4.5
planning,6.42,7.51,1.1,20.0,9.1
tool_call,4.9,4.09,-0.82,21.0,4.5
planning,5.51,4.15,-1.36,22.0,0.0
tool_call,6.44,4.84,-1.61,22.0,0.0
planning,8.18,8.6,0.43,21.0,4.5
planning,9.34,8.14,-1.2,21.0,4.5
tool_call,4.04,3.03,-1.01,22.0,0.0
planning,6.03,4.89,-1.15,21.0,4.5
tool_call,3.95,3.19,-0.75,21.0,4.5
tool_call,4.08,3.31,-0.77,21.0,4.5
planning,7.16,7.33,0.17,21.0,4.5
planning,6.34,5.03,-1.32,21.0,4.5
planning,7.08,8.06,0.98,21.0,4.5
tool_call,4.13,3.26,-0.86,21.0,4.5
tool_call,3.9,3.12,-0.78,21.0,4.5
tool_call,3.99,3.19,-0.81,21.0,4.5
