step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,4.921432,137.2,13.0,40.9,,0.00019999,11.9
100,3.598123,36.53,12.98,40.99,,0.00019997,23.0
150,3.136511,23.02,12.92,41.27,,0.00019993,34.03
200,2.882022,17.85,14.2,35.46,,0.00019986,45.01
250,2.546135,12.76,15.84,28.0,,0.00019979,59.14
300,2.295566,9.93,16.4,25.45,,0.00019969,70.23
350,2.345855,10.44,15.22,30.81,,0.00019959,81.24
400,2.523235,12.47,14.74,33.01,,0.00019945,92.31
450,2.186119,8.9,18.42,16.26,,0.00019932,106.79
500,1.955078,7.06,18.18,17.36,,0.00019915,117.82
550,3.159433,23.56,13.2,40.01,,0.00019898,128.81
600,1.930374,6.89,19.16,12.9,,0.00019877,139.95
650,1.911516,6.76,18.24,17.08,,0.00019857,154.06
700,1.756824,5.79,19.22,12.63,,0.00019833,165.07
750,1.719373,5.58,18.8,14.54,,0.0001981,176.06
800,1.832558,6.25,18.62,15.36,,0.00019783,187.07
850,1.961355,7.11,19.88,9.62,,0.00019756,201.16
900,2.056796,7.82,19.08,13.26,,0.00019725,212.22
950,1.967656,7.15,18.64,15.26,,0.00019695,223.31
1000,1.913722,6.78,19.06,13.36,,0.00019661,234.34
1050,1.802678,6.07,19.24,12.53,,0.00019628,248.57
1100,1.758674,5.8,18.5,15.9,,0.0001959,259.73
1150,1.684536,5.39,19.02,13.53,,0.00019554,270.82
1200,1.716513,5.57,18.24,17.08,,0.00019513,281.9
1250,1.645081,5.18,18.92,13.99,,0.00019474,296.08
1300,1.788988,5.98,18.14,17.53,,0.00019429,307.21
1350,1.668431,5.3,18.6,15.44,,0.00019387,318.32
1400,1.744926,5.73,17.96,18.36,,0.00019339,329.37
1450,1.519923,4.57,19.28,12.35,,0.00019294,343.59
1500,1.660559,5.26,17.7,19.54,,0.00019243,354.68
1550,1.598752,4.95,18.94,13.89,,0.00019194,365.77
1600,1.608266,4.99,18.58,15.54,,0.0001914,376.84
1650,1.678609,5.36,18.08,17.81,,0.00019088,391.04
1700,1.602239,4.96,18.52,15.81,,0.00019031,402.16
1750,1.534102,4.64,19.22,12.62,,0.00018976,413.29
1800,1.676234,5.35,17.18,21.91,,0.00018916,424.43
1850,1.562354,4.77,18.92,13.99,,0.00018858,438.64
1900,1.601085,4.96,18.12,17.62,,0.00018794,449.82
1950,1.57493,4.83,17.3,21.36,,0.00018734,460.95
2000,1.561903,4.77,18.72,14.9,,0.00018667,472.16
2050,1.596102,4.93,18.34,16.63,,0.00018604,486.37
2100,1.577607,4.84,17.46,20.63,,0.00018534,497.4
2150,1.601743,4.96,17.88,18.72,,0.00018468,508.67
2200,1.532339,4.63,18.52,15.81,,0.00018395,519.69
2250,1.591766,4.91,17.28,21.45,,0.00018326,533.84
2300,1.572029,4.82,18.52,15.81,,0.0001825,544.89
2350,1.600775,4.96,17.06,22.46,,0.00018179,555.9
2400,1.482149,4.4,18.96,13.81,,0.000181,566.93
2450,1.60469,4.98,16.98,22.82,,0.00018026,580.99
2500,1.595518,4.93,18.18,17.36,,0.00017944,592.04
2550,1.561327,4.77,18.44,16.18,,0.00017867,603.15
2600,1.556217,4.74,17.4,20.9,,0.00017783,614.26
2650,1.588878,4.9,17.96,18.37,,0.00017703,628.41
2700,1.587329,4.89,18.48,15.99,,0.00017616,639.75
2750,1.4957,4.46,17.86,18.81,,0.00017534,650.84
2800,1.506295,4.51,17.1,22.27,,0.00017444,661.92
2850,1.581427,4.86,17.82,18.99,,0.0001736,675.92
2900,1.541188,4.67,18.26,16.99,,0.00017267,687.02
2950,1.519867,4.57,17.18,21.91,,0.00017181,698.13
3000,1.523331,4.59,18.5,15.9,,0.00017086,709.23
