step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,11.81,19.87,8.06,13.0,40.9
planning,5.58,4.25,-1.32,22.0,0.0
planning,8.37,6.37,-2.0,22.0,0.0
tool_call,3.99,3.4,-0.58,20.0,9.1
planning,9.34,7.06,-2.28,22.0,0.0
tool_call,3.66,2.88,-0.79,21.0,4.5
tool_call,4.11,3.18,-0.94,21.0,4.5
planning,5.94,4.54,-1.4,22.0,0.0
tool_call,3.63,2.81,-0.82,21.0,4.5
planning,7.33,5.56,-1.77,22.0,0.0
planning,7.68,5.85,-1.83,22.0,0.0
planning,8.57,6.54,-2.04,22.0,0.0
tool_call,5.94,4.88,-1.06,21.0,4.5
tool_call,6.32,4.96,-1.36,21.0,4.5
planning,5.64,4.28,-1.36,22.0,0.0
planning,6.15,4.67,-1.48,22.0,0.0
planning,6.5,4.94,-1.56,22.0,0.0
planning,7.68,5.85,-1.84,22.0,0.0
tool_call,5.6,4.7,-0.9,21.0,4.5
planning,7.02,5.33,-1.69,22.0,0.0
planning,8.64,6.59,-2.05,22.0,0.0
tool_call,4.14,3.31,-0.83,21.0,4.5
tool_call,4.52,3.62,-0.9,21.0,4.5
tool_call,4.66,3.7,-0.96,21.0,4.5
tool_call,6.1,4.6,-1.5,22.0,0.0
planning,7.02,5.33,-1.69,22.0,0.0
tool_call,4.31,3.33,-0.98,21.0,4.5
planning,7.62,5.8,-1.82,22.0,0.0
tool_call,6.52,5.38,-1.14,21.0,4.5
planning,8.44,6.42,-2.02,22.0,0.0
tool_call,4.38,3.46,-0.92,21.0,4.5
tool_call,4.4,3.59,-0.81,21.0,4.5
tool_call,4.04,3.34,-0.7,21.0,4.5
tool_call,4.3,3.54,-0.76,21.0,4.5
tool_call,7.11,5.81,-1.29,21.0,4.5
planning,7.05,5.37,-1.68,22.0,0.0
tool_call,3.92,3.02,-0.91,21.0,4.5
tool_call,4.66,3.7,-0.96,21.0,4.5
planning,8.37,6.36,-2.01,22.0,0.0
planning,6.44,4.87,-1.57,22.0,0.0
planning,9.71,7.38,-2.33,22.0,0.0
planning,6.65,5.06,-1.59,22.0,0.0
planning,6.78,5.16,-1.62,22.0,0.0
planning,8.31,6.3,-2.0,22.0,0.0
planning,7.25,5.52,-1.73,22.0,0.0
tool_call,4.26,3.53,-0.73,20.0,9.1
tool_call,4.88,4.07,-0.82,21.0,4.5
planning,7.36,5.6,-1.76,22.0,0.0
tool_call,4.13,3.29,-0.84,21.0,4.5
planning,7.87,5.95,-1.92,22.0,0.0
planning,8.91,6.78,-2.13,22.0,0.0
planning,4.88,3.73,-1.16,22.0,0.0
planning,5.49,4.18,-1.31,22.0,0.0
tool_call,4.01,3.12,-0.89,21.0,4.5
planning,6.22,4.74,-1.48,22.0,0.0
tool_call,3.58,2.8,-0.78,21.0,4.5
planning,10.92,8.25,-2.67,22.0,0.0
planning,6.27,4.77,-1.5,22.0,0.0
planning,8.24,6.23,-2.01,22.0,0.0
tool_call,4.0,3.11,-0.9,21.0,4.5
planning,10.34,7.84,-2.49,22.0,0.0
planning,8.37,6.38,-1.99,22.0,0.0
tool_call,4.92,3.9,-1.02,21.0,4.5
planning,8.11,6.19,-1.92,22.0,0.0
tool_call,3.92,3.07,-0.85,21.0,4.5
tool_call,5.41,4.32,-1.09,21.0,4.5
tool_call,4.1,3.2,-0.9,21.0,4.5
tool_call,7.39,6.0,-1.38,21.0,4.5
planning,7.39,5.63,-1.76,22.0,0.0
planning,6.42,4.89,-1.53,22.0,0.0
planning,8.5,6.47,-2.04,22.0,0.0
planning,7.62,5.79,-1.83,22.0,0.0
tool_call,5.0,4.02,-0.98,21.0,4.5
planning,12.47,9.5,-2.97,22.0,0.0
tool_call,6.89,5.55,-1.34,21.0,4.5
tool_call,5.04,4.04,-1.0,21.0,4.5
tool_call,4.61,3.75,-0.85,21.0,4.5
tool_call,3.93,3.16,-0.77,21.0,4.5
planning,10.83,8.22,-2.62,22.0,0.0
tool_call,4.96,3.97,-0.99,21.0,4.5
tool_call,3.84,2.99,-0.85,21.0,4.5
planning,5.87,4.46,-1.41,22.0,0.0
tool_call,5.0,3.81,-1.19,21.0,4.5
tool_call,3.99,3.1,-0.88,21.0,4.5
tool_call,3.74,2.93,-0.81,21.0,4.5
tool_call,4.15,3.36,-0.8,21.0,4.5
tool_call,4.14,3.58,-0.57,20.0,9.1
tool_call,5.78,4.58,-1.2,21.0,4.5
planning,8.18,6.2,-1.97,22.0,0.0
tool_call,4.11,3.29,-0.82,21.0,4.5
planning,6.3,4.79,-1.51,22.0,0.0
tool_call,4.14,3.33,-0.81,21.0,4.5
planning,8.5,6.43,-2.07,22.0,0.0
tool_call,4.7,3.76,-0.94,21.0,4.5
planning,5.47,4.17,-1.3,22.0,0.0
tool_call,6.17,4.98,-1.2,21.0,4.5
tool_call,4.23,3.33,-0.9,21.0,4.5
tool_call,3.92,3.13,-0.79,21.0,4.5
planning,6.86,5.18,-1.68,22.0,0.0
planning,11.9,9.02,-2.88,22.0,0.0
